0,1,2
18.924583,-25.30013,1.1089321
26.298777,-8.967332,-13.173936
18.320034,-12.713306,9.345484
29.15671,12.716651,8.775108
18.41169,14.249354,9.609001
23.162167,11.001482,17.112091
23.369406,-11.987492,7.8340726
24.388485,-8.954311,-12.434544
23.00164,-7.580202,12.924398
19.27153,-9.214582,15.699839
14.902297,8.90388,-0.3458505
29.788494,3.0184813,1.4636788
15.033848,13.3248,-4.58127
25.314924,-4.967272,-0.4670447
16.572582,15.511211,4.636027
19.641663,4.891337,18.879827
22.64488,-3.7573886,10.295748
18.571547,4.4126115,11.156792
24.11379,4.898462,7.5240755
14.133521,16.362787,2.0257387
16.61005,14.826658,5.4191275
15.903116,-11.883961,17.969929
27.188784,-10.032614,-9.411937
23.611483,-0.5934669,10.403985
16.191973,7.507897,-1.2698442
20.09558,13.236851,-5.6380134
19.459888,-6.0431795,13.959381
9.154155,1.7328744,18.576334
16.547628,9.292043,-4.051384
23.15751,-13.786097,11.14359
12.960616,-25.930655,8.982113
22.16159,-13.975073,14.161543
17.794922,-13.046303,18.421297
13.410793,-18.895578,11.766057
4.3677907,2.2102587,23.402676
15.925638,-19.392174,12.7003
26.982428,20.364092,-3.5482397
27.37019,15.078955,5.9809995
17.56453,-21.310463,6.4478083
15.483368,8.715398,-0.95328027
18.893536,-17.22224,5.097951
26.035746,22.626606,-2.7110019
5.5282655,3.86079,29.37266
15.870925,-15.954888,0.5477897
24.070751,18.61698,-5.3124056
17.27426,-3.0433905,21.00985
23.02183,-10.372476,-13.707921
15.201898,13.058435,11.504126
19.07588,8.908033,-4.0380316
24.46673,-2.6699774,-8.728232
18.934584,-24.284155,-0.887676
26.148596,1.7182784,11.322873
18.260893,-0.11878925,21.585722
22.085754,18.821053,4.620947
24.516052,17.63422,1.4214579
25.457067,-6.2625027,2.5657327
25.33414,9.829731,17.581198
29.856472,17.437908,-0.58119816
24.380436,-3.969444,-9.798499
27.628798,16.505331,-2.669429
22.323538,6.09348,12.284804
26.671986,20.220675,6.648072
18.41827,0.82643455,17.16222
19.04954,-0.4593865,19.30835
25.711393,14.9160795,4.822351
29.061728,22.818121,2.1712172
18.196375,-19.267284,8.137385
24.800566,20.165213,7.173485
22.722204,15.194993,15.525927
20.631472,-11.644631,11.909941
19.315887,-10.181003,1.227929
22.7673,14.041296,-2.3250134
26.009724,21.116026,-0.7135267
26.70074,2.051007,8.04417
23.791162,8.048104,12.496788
24.067816,6.560933,17.23038
12.775047,13.179887,-1.8286331
23.647535,16.896822,1.7054355
19.712017,-16.291426,11.62063
17.021608,-20.625427,6.004986
21.142965,-8.109068,6.818378
18.02471,13.754035,1.3683972
28.19203,-5.4340115,-7.078046
20.443584,9.907062,-1.1433808
25.32635,0.08338341,12.145556
18.106506,7.963598,15.7299185
30.5365,5.949909,0.017275997
11.542212,2.9212534,18.22463
19.026865,-10.447457,5.9514976
17.496046,13.683018,-1.4871515
14.305184,-22.86044,3.7041404
28.608185,-4.750782,-11.029868
17.438044,5.7626605,19.841621
14.216446,18.207033,2.637489
24.580877,2.98169,19.437504
25.790443,5.3732057,3.2769976
22.050116,-15.569867,-6.914077
15.837573,-21.836712,-0.9849935
28.193228,1.5137256,-5.130613
16.99464,6.4596977,7.9488034
25.187555,4.4237194,16.662394
20.815079,-8.262018,3.302153
27.888565,5.86727,-0.8095189
25.408827,11.500454,19.847267
27.30904,0.8613078,-2.8304458
