0,1,2
30.876595,-2.079919,3.7698927
36.12776,-2.574068,3.9349751
-1.9563266,1.4559437,6.8285484
-7.8884506,1.8611182,-2.2575107
-0.82711345,1.8884445,4.973853
-0.6947862,2.1249435,5.068608
-21.591022,5.3225327,2.1003814
9.415692,5.5791497,-3.260057
3.6065457,3.2929041,5.840707
-32.807945,12.530639,1.1738383
-32.841934,13.071909,0.59753203
-29.85894,9.706119,0.2749693
19.457718,6.7367697,-1.8979291
-22.894001,7.5780077,4.002562
21.370564,-0.9905952,5.8146195
17.86066,5.2470913,1.5159668
6.130828,9.007279,0.1501046
-16.548323,3.9059896,-0.12543023
17.67932,-5.851388,2.7756994
36.307846,-3.0954628,4.032695
-3.343792,1.9360542,3.4971702
23.795454,5.078911,-2.0121496
-20.83881,4.3528805,2.196659
-23.760412,7.6619925,1.7146811
35.852226,-2.9264426,5.019291
0.26662087,6.3888464,0.44971946
36.873108,0.40922633,1.688629
-21.636055,5.9878163,4.3345037
27.557493,-1.8884679,6.8086634
-8.457542,2.4455853,-3.061828
11.947786,7.3060246,1.1083521
-9.628397,0.8224992,-6.1644387
5.28667,4.399071,-1.7259604
-12.165263,5.9743323,-0.36206067
19.05579,-4.5720553,2.6725416
-22.806137,7.403139,3.8664365
1.6197221,5.8051023,-0.37814233
23.038534,5.667783,-1.5293653
3.9547412,7.7494836,-1.0495173
6.4627795,4.078048,-4.783186
27.460684,-4.639244,2.751046
14.119081,8.881916,-0.86538094
-22.316391,7.0883975,2.6208344
4.847597,2.001566,5.379326
-20.454247,5.305542,1.845925
-3.7977881,7.5371275,0.25763485
7.615138,5.1332564,3.1812916
32.89313,-2.2803574,2.0641508
30.76694,-0.25465515,-0.54599994
-9.967782,8.104253,-4.152013
6.81897,5.539503,-7.2481847
3.1809669,4.7563963,3.2019913
37.80012,-1.4406744,2.2749891
15.933883,-0.22347642,0.43311992
-2.215138,0.19725509,4.71016
27.603834,-4.719428,2.892941
29.511467,-3.1118276,2.1407647
-5.6508665,9.4302,-0.7282145
1.1115903,2.7557933,5.3454437
-33.43841,11.509676,1.9577745
-11.044418,5.5356655,2.4328187
36.916912,0.49428272,1.7085793
19.559568,0.09578362,6.333716
36.846073,0.1554551,1.6795361
-10.525174,5.9106236,-0.17408127
-2.1586185,1.4498478,2.3774161
28.593258,-5.1773825,2.3353999
-18.485249,6.49479,-1.3737172
-1.5395387,9.75872,2.2663038
-11.44776,3.4359329,3.6294408
15.605925,-1.0987127,4.878767
17.865166,-1.3358129,6.207616
29.92606,-3.3061018,2.5692797
-2.7399552,0.47046146,5.1331143
3.1697786,7.008625,1.7885461
13.691889,1.4560366,-0.561779
10.612777,7.0192423,0.9964455
30.580524,-2.0837593,0.9173131
-4.24882,2.0771487,5.5591297
34.725353,-2.4097607,1.5688736
21.816116,-1.5407969,-2.091895
5.937566,8.913167,-0.41133252
-10.127479,3.7913604,4.8416758
-12.98242,5.01894,2.407868
5.0177255,4.7833767,-4.3749485
17.11252,-1.7427014,-3.001966
3.0834455,6.460848,3.3242269
-0.054828525,8.59437,-0.17389067
-2.5542362,-3.4923491,7.805029
-33.167767,11.672444,1.310042
21.77034,0.31319842,-1.4436961
19.409052,3.108012,-3.1165113
4.975068,5.6861243,-6.684007
24.052307,4.3114815,-0.5960581
2.7284155,4.2369323,-0.14845371
-28.004564,6.7791767,3.7306166
19.374138,6.8849726,-1.6753031
-2.5364654,0.55597675,4.231762
-2.1184103,6.215975,4.7787147
-18.491747,5.0225577,3.6060135
27.696894,-2.0765898,6.7566543
29.178719,-4.390299,2.0105205
-1.0291433,8.423217,1.5798538
21.958185,4.8101463,-1.1444894
40.10103,-4.677762,3.4405
17.620972,4.857327,0.6032785
29.737944,-2.4842389,6.132516
-1.8534205,1.1338848,5.399815
26.67966,0.78903943,0.8618811
5.7376385,4.418853,-3.3222558
16.877865,7.458559,-0.46385524
-16.49576,3.3788378,-0.2518468
-21.270058,5.586344,3.803945
16.852741,-1.6343552,-3.8004704
7.2155123,5.0217676,3.1882555
23.781395,-4.569435,2.7219443
-32.96673,11.953473,2.8292422
4.7092576,10.256151,0.20444429
13.171411,1.020819,0.9951067
-8.946137,1.3595461,-1.5120444
-28.217207,7.9212832,2.00311
-1.7530648,4.659635,-4.5839906
-11.693213,7.029584,-3.63531
-11.847846,4.085309,3.1676588
19.09624,4.807,2.2196944
5.8535733,7.905687,0.66962624
0.08303754,6.29751,0.5976906
-33.73504,11.87101,0.106640756
-12.200255,3.8528428,3.4058478
-0.85631555,6.455018,0.803037
29.684471,-4.1442537,2.4726863
-33.539257,12.319288,0.5043015
-10.405222,2.0288708,0.83085245
11.317768,6.7729964,1.3001106
-31.292337,8.504011,-0.42247117
-9.803998,1.986209,2.0910714
17.041235,6.1977925,3.3295202
25.079239,-5.18335,2.2332938
27.384338,-2.2737906,-2.870322
11.548486,-0.19886988,0.024667924
-31.907448,12.400142,2.2430704
11.776502,7.30513,-1.1249245
24.063284,5.5066566,-1.0886353
-0.6419127,2.026493,7.419362
-1.60194,7.454396,1.912277
-15.586579,6.1637187,1.2326263
28.933695,-2.4618604,6.3656673
29.433979,-5.29063,2.3489254
19.218924,-0.69029105,6.629456
14.968986,-2.4559686,4.9848166
-19.830782,4.461852,2.171978
-6.0612864,3.144615,3.7997851
19.801134,3.6102798,-2.8280237
7.421824,10.033601,1.4117479
-34.168427,11.79791,1.198939
-9.700283,0.8441555,-5.927452
-2.6188731,4.242681,3.9795725
17.164276,6.9217553,0.49373996
34.408318,-2.0523493,1.1067274
-21.067652,6.0697975,3.0704956
27.72505,-4.9820104,2.5960653
-11.9289255,4.7051096,3.4403708
35.09832,-3.492853,4.147279
-26.237444,6.325401,2.1207647
-5.03361,1.6710167,4.887001
0.55790675,3.9645312,-6.0973625
-6.603689,1.1898743,1.2401466
-2.6008837,0.93232894,4.665902
-4.925381,3.068855,4.652222
1.593857,8.615693,1.5089504
-1.5430255,3.8506258,-3.2392015
26.69607,5.3009167,1.7233813
22.288708,3.7146952,-1.4547697
14.011419,-7.284481,6.1509643
28.089033,-5.099927,2.9284682
-0.5712815,6.141852,-2.9800308
28.761705,-2.5714285,-0.9455221
4.172859,-0.35142004,3.3356717
-14.029387,1.3960708,-7.346709
13.303482,4.3494773,-4.4914446
-13.641284,3.3395019,-8.436435
-10.28666,2.762424,-4.9701266
-27.374754,8.27937,3.5029423
7.326353,7.2487226,-0.09945729
15.938718,-3.438057,2.431834
14.277976,-1.1588284,-1.8651156
12.022434,0.73636883,0.70158875
12.92127,4.834757,5.2159824
40.773525,-4.9937716,3.6573172
17.121056,-1.0695688,3.8010342
13.609713,6.312637,1.4635612
8.29807,7.851472,-0.08476783
1.100649,3.7447748,-5.8087277
39.18522,-2.7428248,5.160129
0.6224266,1.2679853,8.127037
23.826797,5.33449,-1.69666
-11.507689,4.206688,4.364894
19.151827,-2.212866,-3.9107466
10.575226,5.864169,1.1554567
21.414463,1.4554965,-2.860401
3.0929618,-2.9041498,4.8508377
16.021973,-0.3715118,1.4120549
23.84352,4.997323,-2.044601
12.74952,2.0874996,-1.4369826
-17.558794,3.8968987,3.0927367
-33.523018,12.779462,0.3897855
30.044533,-2.6000123,4.8574796
19.166656,-0.9454741,5.221682
4.5894957,8.068458,0.22288267
-9.995524,8.34648,-4.097621
-33.504925,12.503784,1.8477869
29.251038,-5.061007,2.4780145
1.6479613,6.313221,0.07571138
25.648785,-1.7168387,6.0869517
37.004906,0.5882762,1.7552091
4.439498,8.5810795,-0.8923513
37.413536,-1.3021376,1.4951032
-14.029975,2.1438847,-5.710678
19.516865,-2.12563,-3.7874691
1.0824658,6.3310447,0.574853
-32.86429,12.303586,1.4671755
6.863875,9.471768,0.5298155
-15.65891,6.848488,1.7399446
2.030457,0.727732,6.5473256
31.581194,-5.0327783,2.795353
-32.914707,10.8476095,1.8303992
6.10607,7.591874,0.7951553
-0.5104211,10.029553,2.47341
14.001674,6.195787,1.6715376
25.29528,4.6163883,2.018616
